name,model,type,price,year,distance,drive,transmission,engine,color,city,owners,isActive
Nissan,Maxima,Седан,1300,1993,320.0,Передній,Ручна / Механіка,3 л;Газ / Бензин,Синій металік,Ковель,5,true
Nissan,100NX,Купе,1300,1992,140.0,Передній,Ручна / Механіка,1.6 л;Бензин,Червоний,Київ,2,true
Nissan,Primera,Хетчбек,1380,1992,200.0,Передній,Ручна / Механіка,2.02 л;Газ / Бензин,Синій,Сватове,2,true
Nissan,Bluebird,Седан,1500,1987,178.0,Передній,Ручна / Механіка,1.8 л,Білий,Івано-Франківськ,,false
Nissan,Bluebird,Седан,1500,1983,80.0,,Ручна / Механіка,1.8 л;Бензин,,Дніпро (Дніпропетровськ),,true
Nissan,Sunny,Хетчбек,1500,1988,304.0,Передній,Ручна / Механіка,1.6 л;Бензин,Зелений,Біляївка,2,true
Nissan,Bluebird,Седан,1500,1986,280.0,Передній,Ручна / Механіка,2 л (120 к.с. / 88 кВт);Бензин,Сірий металік,Одеса,,true
Nissan,Sunny,Хетчбек,1500,1988,350.0,Передній,Ручна / Механіка,1.7 л;Дизель,Червоний,Ратне,2,true
Nissan,Vanette пасс.,"Легковий фургон (до 1,5т)",1500,1987,126.0,Задній,Ручна / Механіка,2 л,Білий,Черкаси,,true
Nissan,Micra,Хетчбек,1500,1989,153.0,Передній,Ручна / Механіка,1.2 л;Бензин,Білий,Київ,,true
Nissan,Bluebird,Седан,1500,1986,308.0,Передній,Ручна / Механіка,2 л (69 к.с. / 51 кВт);Дизель,Бежевий,Одеса,,true
Nissan,Primera,Седан,1550,1994,250.0,,Автомат,2 л;Газ / Бензин,Червоний,Одеса,3,true
Nissan,Sunny,Седан,1550,1987,215.0,Передній,,1.6 л;Газ / Бензин,Червоний,Херсон,2,true
Nissan,Sunny,Седан,1600,1991,350.0,,Ручна / Механіка,Газ / Бензин,,Одеса,,true
Nissan,Bluebird,Хетчбек,1600,1987,111.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Червоний,Одеса,3,true
Nissan,Primera,Седан,1600,1993,365.0,,,2 л (2 к.с. / 1 кВт);Дизель,Сірий,Вінниця,1,true
Nissan,Altima,Седан,1600,1994,253.0,Передній,Ручна / Механіка,2.4 л (367.2 к.с. / 270 кВт);Бензин,Чорний,Херсон,1,true
Nissan,Primera,Седан,1600,1993,300.0,Задній,Ручна / Механіка,2 л (125 к.с. / 92 кВт);Бензин,Сірий,Дубно,,true
Nissan,Sunny,Седан,1600,1991,290.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Червоний,Харків,2,true
Nissan,Primera,Седан,1650,1992,292.0,Передній,Ручна / Механіка,2 л (75 к.с. / 55 кВт);Дизель,Синій,Дніпро (Дніпропетровськ),2,true
Nissan,Micra,Хетчбек,1650,1995,316.0,Передній,Ручна / Механіка,1 л;Бензин,Білий,Київ,3,true
Nissan,Sunny,Хетчбек,1700,1992,200.0,Передній,Ручна / Механіка,1.4 л;Бензин,Червоний,Одеса,2,true
Nissan,Primera,Седан,1700,1995,111.0,Передній,Ручна / Механіка,1.6 л (102 к.с. / 75 кВт);Газ / Бензин,Синій металік,Вінниця,,true
Nissan,Bluebird,Седан,1700,1987,468.0,Передній,Ручна / Механіка,(2 к.с. / 1 кВт);Бензин,Сірий,Дніпро (Дніпропетровськ),,true
Nissan,Almera,Седан,1700,1996,450.0,,,1.4 л;Газ / Бензин,Зелений,Чернівці,2,true
Nissan,Sunny,Седан,1700,1995,260.0,Передній,Ручна / Механіка,1.4 л;Бензин,Зелений металік,Рівне,3,true
Nissan,Primera,Седан,1700,1994,301.0,Передній,Ручна / Механіка,1.6 л (105 к.с. / 77 кВт);Бензин,Білий,Одеса,2,true
Nissan,Primera,Седан,1700,1991,400.0,Передній,Ручна / Механіка,2 л (150 к.с. / 110 кВт);Бензин,Синій,Одеса,,true
Nissan,Primera,Хетчбек,1700,1995,297.0,Передній,Ручна / Механіка,2 л;Бензин,Сірий,Обухів,3,true
Nissan,Primera,Хетчбек,1700,1991,300.0,,Ручна / Механіка,2 л;Газ / Бензин,Сірий,Чернігів,2,true
Nissan,Primera,Седан,1700,1995,297.0,Передній,Ручна / Механіка,Бензин,Червоний металік,Козятин,,false
Nissan,Maxima,Седан,1750,1994,278.0,Передній,Ручна / Механіка,3 л (195 к.с. / 143 кВт);Бензин,Сірий,Львів,2,true
Nissan,Maxima,Седан,1750,1989,447.0,Передній,Ручна / Механіка,3 л (170 к.с. / 125 кВт);Бензин,Сірий,Овідіополь,,true
Nissan,Maxima,Седан,1800,1996,360.0,Передній,Ручна / Механіка,3 л;Бензин,Зелений,Світловодськ,3,true
Nissan,Presea,Седан,1800,1990,270.0,Передній,Автомат,1.8 л;Бензин,,Одеса,,true
Nissan,Vanette пасс.,Мінівен,1800,1989,300.0,Задній,Ручна / Механіка,2.4 л;Газ / Бензин,Білий,Рівне,,true
Nissan,100NX,Купе,1800,1993,267.0,Передній,Ручна / Механіка,1.6 л;Газ / Бензин,Червоний,Київ,3,true
Nissan,Vanette пасс.,"Легковий фургон (до 1,5т)",1800,1996,290.0,Задній,,(2 к.с. / 1 кВт);Дизель,,Одеса,,true
Nissan,Sunny,Седан,1800,1993,311.0,,Ручна / Механіка,1.4 л;Газ / Бензин,Сірий,Карлівка,3,true
Nissan,Primera,Седан,1820,1994,275.0,,Автомат,1.8 л;Газ / Бензин,Сірий,Одеса,,true
Nissan,Primera,Хетчбек,1850,1994,270.0,Передній,Ручна / Механіка,1.6 л (102 к.с. / 75 кВт);Бензин,Синій,Запоріжжя,3,true
Nissan,Primera,Ліфтбек,1900,1992,291.0,Передній,Ручна / Механіка,2 л (115 к.с. / 85 кВт);Газ / Бензин,Синій,Хмельницький,,true
Nissan,Maxima,Седан,1900,1992,330.0,Передній,Ручна / Механіка,3 л (170 к.с. / 125 кВт);Газ / Бензин,Сірий,Кам'янець-Подільський,,true
Nissan,Vanette пасс.,Мінівен,1900,1998,555.0,Задній,Ручна / Механіка,(2.3 к.с. / 2 кВт);Дизель,Білий,Чернівці,,true
Nissan,Vanette груз.,"Легковий фургон (до 1,5т)",1950,2001,430.0,Задній,Ручна / Механіка,2.3 л;Дизель,Бежевий,Новоград-Волинський,,true
Nissan,Bluebird,Хетчбек,1980,1990,100.0,Передній,Ручна / Механіка,2 л;Бензин,Зелений,Херсон,3,true
Nissan,Sunny,Седан,1999,1991,374.0,,,1.4 л;Бензин,Червоний,Татарбунари,5,true
Nissan,Primera,Седан,1999,1990,300.0,Передній,Ручна / Механіка,1.6 л (122.4 к.с. / 90 кВт);Газ / Бензин,Червоний,Запоріжжя,1,true
Nissan,Primera,Унiверсал,2000,1992,355.0,Передній,Ручна / Механіка,2 л (150 к.с. / 110 кВт);Газ,Червоний,Миколаїв,3,true
Nissan,Prairie,Мінівен,2000,1989,425.0,Передній,Ручна / Механіка,2 л;Газ / Бензин,Коричневий,Дніпро (Дніпропетровськ),,true
